,station id,station latitude,station longitude,station name
38,249.0,40.71870987,-74.0090009,Harrison St & Hudson St
39,251.0,40.72317958,-73.99480012,Mott St & Prince St
40,252.0,40.73226398,-73.99852205,MacDougal St & Washington Sq
41,253.0,40.73543934,-73.99453948,W 13 St & 5 Ave
42,254.0,40.73532427,-73.99800419,W 11 St & 6 Ave
43,257.0,40.71939226,-74.00247214,Lispenard St & Broadway
44,258.0,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave
45,259.0,40.70122128,-74.01234218,South St & Whitehall St
46,260.0,40.70365182,-74.01167797,Broad St & Bridge St
47,261.0,40.69474881,-73.98362464,Johnson St & Gold St
48,262.0,40.6917823,-73.97372990000001,Washington Park
49,264.0,40.70706456,-74.00731853,Maiden Ln & Pearl St
50,265.0,40.72229346,-73.99147535,Stanton St & Chrystie St
51,266.0,40.72368361,-73.97574813,Avenue D & E 8 St
52,267.0,40.75097711,-73.98765428,Broadway & W 36 St
53,268.0,40.71910537,-73.99973337,Howard St & Centre St
54,270.0,40.69308257,-73.97178913,Adelphi St & Myrtle Ave
55,274.0,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl
56,275.0,40.68650065,-73.96563307,Washington Ave & Greene Ave
57,276.0,40.71748752,-74.0104554,Duane St & Greenwich St
58,278.0,40.69766564,-73.98476437,Concord St & Bridge St
59,279.0,40.707873,-74.00166999999999,Peck Slip & Front St
60,280.0,40.73331967,-73.99510132,E 10 St & 5 Ave
61,281.0,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S
62,282.0,40.70764494,-73.96841526,Kent Ave & S 11 St
63,285.0,40.73454567,-73.99074142,Broadway & E 14 St
64,289.0,40.684568299999995,-73.95881081,Monroe St & Classon Ave
65,291.0,40.713126,-73.984844,Madison St & Montgomery St
66,293.0,40.73020661,-73.99102628,Lafayette St & E 8 St
67,295.0,40.71406667,-73.99293911,Pike St & E Broadway
68,296.0,40.71413089,-73.99704679999999,Division St & Bowery
69,297.0,40.734232,-73.986923,E 15 St & 3 Ave
70,298.0,40.68683208,-73.9796772,3 Ave & Schermerhorn St
71,301.0,40.72217444,-73.98368779,E 2 St & Avenue B
72,302.0,40.72082834,-73.97793172,Avenue D & E 3 St
73,303.0,40.72362738,-73.99949601,Mercer St & Spring St
74,304.0,40.70463334,-74.01361706,Broadway & Battery Pl
75,305.0,40.76095756,-73.96724467,E 58 St & 3 Ave
76,307.0,40.71427487,-73.98990025,Canal St & Rutgers St
77,308.0,40.71307916,-73.99851193,St James Pl & Oliver St
78,309.0,40.7149787,-74.013012,Murray St & West St
79,310.0,40.68926942,-73.98912867,State St & Smith St
80,311.0,40.7172274,-73.98802084,Norfolk St & Broome St
81,312.0,40.722055,-73.989111,Allen St & Stanton St
82,313.0,40.69610226,-73.96751037,Washington Ave & Park Ave
83,314.0,40.69383,-73.990539,Cadman Plaza West & Montague St
84,315.0,40.70355377,-74.00670227,South St & Gouverneur Ln
85,316.0,40.70955958,-74.00653609,Fulton St & William St
86,317.0,40.72453734,-73.98185424,E 6 St & Avenue B
87,319.0,40.711065999999995,-74.009447,Fulton St & Broadway
88,320.0,40.717571,-74.005549,Leonard St & Church St
89,321.0,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl
90,322.0,40.696191999999996,-73.991218,Clinton St & Tillary St
91,323.0,40.69236178,-73.98631746,Lawrence St & Willoughby St
92,324.0,40.689888,-73.981013,DeKalb Ave & Hudson Ave
93,325.0,40.73624527,-73.98473765,E 19 St & 3 Ave
94,326.0,40.72953837,-73.98426726,E 11 St & 1 Ave
95,327.0,40.715337899999994,-74.01658354,Vesey Pl & River Terrace
96,328.0,40.72405549,-74.00965965,Watts St & Greenwich St
97,330.0,40.71450451,-74.00562789,Reade St & Broadway
98,331.0,40.71173107,-73.99193043,Pike St & Monroe St
99,332.0,40.71219906,-73.97948148,Cherry St
100,334.0,40.74238787,-73.99726235,W 20 St & 7 Ave
